iso3,cluster,method,k,year,methodology,cluster_name,iso3_original
BEL,0,human_geo_econ_v2,23.0,2023.0,human,,
DEU,0,human_geo_econ_v2,23.0,2023.0,human,,
IRL,0,human_geo_econ_v2,23.0,2023.0,human,,
LUX,0,human_geo_econ_v2,23.0,2023.0,human,,
NLD,0,human_geo_econ_v2,23.0,2023.0,human,,
DNK,1,human_geo_econ_v2,23.0,2023.0,human,,
FIN,1,human_geo_econ_v2,23.0,2023.0,human,,
ISL,1,human_geo_econ_v2,23.0,2023.0,human,,
SWE,1,human_geo_econ_v2,23.0,2023.0,human,,
EST,2,human_geo_econ_v2,23.0,2023.0,human,,
LVA,2,human_geo_econ_v2,23.0,2023.0,human,,
LTU,2,human_geo_econ_v2,23.0,2023.0,human,,
AUT,3,human_geo_econ_v2,23.0,2023.0,human,,
CZE,3,human_geo_econ_v2,23.0,2023.0,human,,
HUN,3,human_geo_econ_v2,23.0,2023.0,human,,
POL,3,human_geo_econ_v2,23.0,2023.0,human,,
SVK,3,human_geo_econ_v2,23.0,2023.0,human,,
SVN,3,human_geo_econ_v2,23.0,2023.0,human,,
CYP,4,human_geo_econ_v2,23.0,2023.0,human,,
GRC,4,human_geo_econ_v2,23.0,2023.0,human,,
ITA,4,human_geo_econ_v2,23.0,2023.0,human,,
MLT,4,human_geo_econ_v2,23.0,2023.0,human,,
PRT,4,human_geo_econ_v2,23.0,2023.0,human,,
ESP,4,human_geo_econ_v2,23.0,2023.0,human,,
GBR,5,human_geo_econ_v2,23.0,2023.0,human,,
ALB,6,human_geo_econ_v2,23.0,2023.0,human,,
BIH,6,human_geo_econ_v2,23.0,2023.0,human,,
MNE,6,human_geo_econ_v2,23.0,2023.0,human,,
MKD,6,human_geo_econ_v2,23.0,2023.0,human,,
SRB,6,human_geo_econ_v2,23.0,2023.0,human,,
ARM,7,human_geo_econ_v2,23.0,2023.0,human,,
AZE,7,human_geo_econ_v2,23.0,2023.0,human,,
BLR,7,human_geo_econ_v2,23.0,2023.0,human,,
GEO,7,human_geo_econ_v2,23.0,2023.0,human,,
MDA,7,human_geo_econ_v2,23.0,2023.0,human,,
ALB,7,human_geo_econ_v2,23.0,2023.0,human,,
UKR,7,human_geo_econ_v2,23.0,2023.0,human,,
KAZ,8,human_geo_econ_v2,23.0,2023.0,human,,
KGZ,8,human_geo_econ_v2,23.0,2023.0,human,,
RUS,8,human_geo_econ_v2,23.0,2023.0,human,,
TJK,8,human_geo_econ_v2,23.0,2023.0,human,,
TKM,8,human_geo_econ_v2,23.0,2023.0,human,,
UZB,8,human_geo_econ_v2,23.0,2023.0,human,,
CAN,9,human_geo_econ_v2,23.0,2023.0,human,,
MEX,9,human_geo_econ_v2,23.0,2023.0,human,,
ATG,10,human_geo_econ_v2,23.0,2023.0,human,,
BHS,10,human_geo_econ_v2,23.0,2023.0,human,,
BRB,10,human_geo_econ_v2,23.0,2023.0,human,,
BLZ,10,human_geo_econ_v2,23.0,2023.0,human,,
CRI,10,human_geo_econ_v2,23.0,2023.0,human,,
CUB,10,human_geo_econ_v2,23.0,2023.0,human,,
DMA,10,human_geo_econ_v2,23.0,2023.0,human,,
DOM,10,human_geo_econ_v2,23.0,2023.0,human,,
SLV,10,human_geo_econ_v2,23.0,2023.0,human,,
GRD,10,human_geo_econ_v2,23.0,2023.0,human,,
GTM,10,human_geo_econ_v2,23.0,2023.0,human,,
HTI,10,human_geo_econ_v2,23.0,2023.0,human,,
HND,10,human_geo_econ_v2,23.0,2023.0,human,,
JAM,10,human_geo_econ_v2,23.0,2023.0,human,,
NIC,10,human_geo_econ_v2,23.0,2023.0,human,,
PAN,10,human_geo_econ_v2,23.0,2023.0,human,,
KNA,10,human_geo_econ_v2,23.0,2023.0,human,,
LCA,10,human_geo_econ_v2,23.0,2023.0,human,,
VCT,10,human_geo_econ_v2,23.0,2023.0,human,,
TTO,10,human_geo_econ_v2,23.0,2023.0,human,,
ARG,11,human_geo_econ_v2,23.0,2023.0,human,,
BOL,11,human_geo_econ_v2,23.0,2023.0,human,,
BOL,11,human_geo_econ_v2,23.0,2023.0,human,,
BRA,11,human_geo_econ_v2,23.0,2023.0,human,,
CHL,11,human_geo_econ_v2,23.0,2023.0,human,,
ECU,11,human_geo_econ_v2,23.0,2023.0,human,,
GUY,11,human_geo_econ_v2,23.0,2023.0,human,,
PRY,11,human_geo_econ_v2,23.0,2023.0,human,,
PER,11,human_geo_econ_v2,23.0,2023.0,human,,
SUR,11,human_geo_econ_v2,23.0,2023.0,human,,
