grouping_no,grouping_name,countries,explanation
0,Commodity-heavy & emerging importers,"490, Antigua and Barbuda, Austria, Brazil, Cambodia, Cook Islands, Costa Rica, Dominica, Gambia, Gibraltar, Grenada, Guinea, Mongolia, Nicaragua, Palau, Papua New Guinea, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Samoa, Sao Tome and Principe, Sint Maarten (Dutch part), Zambia, Zimbabwe",Strong reliance on raw materials and basic manufactured goods; imports skewed toward commodities and essentials.
1,Small island & service-oriented economies,"Aruba, Bolivia, Plurinational State of, Botswana, Cabo Verde, Cayman Islands, Christmas Island, Greenland, Jordan, Kuwait, Maldives, Montserrat, Pitcairn, Saint Pierre and Miquelon, Seychelles, Sudan, Tonga","Limited industrial base, imports dominated by essentials (food, fuels) and re-exports; often service/tourism driven economies."
2,Resource exporters with narrow import needs,"Algeria, Brunei Darussalam, Cameroon, Comoros, Equatorial Guinea, Guyana, Haiti, Norfolk Island, Solomon Islands, Vanuatu","Hydrocarbon/primary exporters that import mostly capital goods, machinery, and refined consumer products."
3,Large diversified importers,"Armenia, Australia, Belarus, Belize, Benin, Bosnia and Herzegovina, Canada, Central African Republic, Chad, Djibouti, Ecuador, Egypt, El Salvador, Fiji, French Polynesia, Ghana, Guatemala, Honduras, Hong Kong, Iceland, Iran, Islamic Republic of, Jamaica, Kazakhstan, Korea, Republic of, Kyrgyzstan, Lao People's Democratic Republic, Latvia, Lebanon, Madagascar, Mauritania, Mauritius, Mexico, Montenegro, Namibia, Netherlands, North Macedonia, Panama, Peru, Qatar, Saudi Arabia, Senegal, Thailand, Turks and Caicos Islands, Türkiye, Uganda, Ukraine, Uruguay","Broad import profiles across tech, machinery, consumer, and resources; high diversity in HS2 categories."
4,European core & advanced Asia,"579, Albania, Angola, Azerbaijan, Bahrain, Bermuda, Bulgaria, Chile, Cyprus, Czechia, Denmark, Dominican Republic, Ethiopia, Germany, Guinea-Bissau, Hungary, Iraq, Japan, Lithuania, Luxembourg, Moldova, Republic of, Mozambique, New Zealand, Nigeria, Pakistan, Poland, Serbia, Slovenia, Sweden, Tuvalu, Virgin Islands, British, Yemen","Advanced manufacturing, strong demand in machinery, vehicles, intermediate goods; diversified and high-tech leaning."
5,Niche small markets,"Andorra, Bahamas, Eswatini, Israel","Specific import needs, not broad; often geopolitically driven import structures."
6,Mediterranean & mid-tier emerging,"251, 699, 842, Belgium, Colombia, Congo, Cuba, Greece, Indonesia, Ireland, Italy, Libya, Malawi, Malaysia, Mali, Malta, Morocco, Niger, Palestine, State of, Portugal, Romania, Rwanda, San Marino, Sierra Leone, Singapore, South Africa, Spain, Syrian Arab Republic, Togo, Tunisia, United Kingdom, Viet Nam",Mix of industrialized mid-sized economies and fast-growing emerging markets; imports balanced between capital goods and consumer.
7,Frontier & low-income,"Afghanistan, Argentina, Barbados, Burkina Faso, Congo, The Democratic Republic of the, Croatia, Côte d'Ivoire, Estonia, Georgia, Liberia, Macao, Myanmar, New Caledonia, Oman, Paraguay, Slovakia, Tajikistan, Tanzania, United Republic of, Timor-Leste, Trinidad and Tobago","Imports concentrated in food, fuels, and basic consumer goods; limited industrial diversification."
8,Island & remote economies,"American Samoa, Anguilla, Bonaire, Sint Eustatius and Saba, British Indian Ocean Territory, Burundi, Cocos (Keeling) Islands, Curaçao, Eritrea, Falkland Islands (Malvinas), French Southern Territories, Guam, Kiribati, Korea, Democratic People's Republic of, Lesotho, Marshall Islands, Micronesia, Federated States of, Nauru, Niue, Northern Mariana Islands, Saint Barthélemy, Saint Helena, Ascension and Tristan da Cunha, Somalia, South Sudan, Sri Lanka, Suriname, Tokelau, Turkmenistan, Venezuela, Bolivarian Republic of, Wallis and Futuna","Geographic isolation; imports dominated by fuels, shipping inputs, food."
9,China-linked / Northern cluster,"757, Bangladesh, Bhutan, China, Finland, Gabon, Kenya, Nepal, Philippines, Russian Federation, United Arab Emirates, Uzbekistan","Heavily influenced by China’s supply chains; imports span industrial inputs, energy, and machinery; includes some Northern/Asian hubs."
