iso,cluster,method,k,year
100,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
104,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
108,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
112,1,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
116,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
12,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
120,1,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
124,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
132,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
136,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
140,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
144,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
148,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
152,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
156,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
16,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
162,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
166,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
170,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
174,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
178,7,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
180,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
184,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
188,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
191,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
192,1,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
196,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
20,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
203,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
204,7,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
208,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
212,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
214,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
218,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
222,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
226,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
231,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
232,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
233,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
238,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
24,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
242,5,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
246,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
251,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
258,5,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
260,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
262,1,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
266,5,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
268,0,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
270,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
275,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
276,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
28,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
288,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
292,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
296,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
300,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
304,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
308,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
31,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
316,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
32,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
320,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
324,7,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
328,5,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
332,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
340,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
344,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
348,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
352,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
36,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
360,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
364,0,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
368,0,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
372,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
376,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
380,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
384,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
388,5,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
392,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
398,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
4,7,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
40,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
400,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
404,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
408,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
410,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
414,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
417,0,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
418,0,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
422,0,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
426,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
428,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
