id,kind,section_header,badge,card_title,short_label,tooltip,full_description,map_title,status,notes
Peer_gap_matching,signal_type,Benchmark (strukturální),Benchmark (strukturální),Pod mediánem strukturálních peers,Strukturální,"Trh, kde má ČR nižší podíl než medián strukturálně podobných zemí.",TBD,,ok,"method=trade_structure (M3: reálné mediány)"
Peer_gap_human,signal_type,Benchmark (geografický),Benchmark (geografický),Pod mediánem geografických peers,Geografický,"Trh, kde má ČR nižší podíl než medián geograficky/ekonomicky podobných zemí.",TBD,,ok,"method=human (M3: reálné mediány)"
Peer_gap_opportunity,signal_type,Benchmark (příležitostní),Benchmark (příležitostní),Pod mediánem příležitostních peers,Příležitostní,"Trh, kde má ČR nižší podíl než medián zemí s podobným růstovým profilem.",TBD,,retired,"method=opportunity RETIRED in M3 v1 (2-point CAGR statisticky křehké); ITC-style model → v2 (V2_BACKLOG)"
YoY_export_change,signal_type,Nárůst exportu,Export roste,Nárůst exportu (meziročně),Export YoY,Meziroční změna českého exportu do dané země.,TBD,,review,
YoY_partner_share_change,signal_type,Navýšení podílu na importu,Podíl roste,Navýšení podílu (meziročně),Podíl YoY,Meziroční změna podílu země na českém exportu daného produktu.,TBD,,review,
trade_structure,methodology,,,,Strukturální,,"Skupiny tvořené metodou k-means (kosinová podobnost) na profilech importních podílů podle kapitol HS2 – tedy podle toho, co trh dováží. ČR patří do skupiny „Evropské jádro a vyspělá Asie“: vyspělá výroba, silná poptávka po strojírenství, vozidlech a meziproduktech, vysoká diverzifikace.",,ok,"method=trade_structure; ČR ve skupině #4; descriptor z peer_groups_hs2_explained.csv (přeloženo EN→CZ v M3)"
human,methodology,,,,Geografický,,"Expertně sestavené skupiny podle geografie a úrovně rozvoje. ČR patří do skupiny „Střední a východní Evropa“ (Rakousko, Bulharsko, Maďarsko, Polsko, Rumunsko, Slovensko, Slovinsko) – průmyslové jádro s vysokým podílem strojírenství a automobilového průmyslu.",,ok,"method=human; ČR ve skupině #3; descriptor z peer_groups_human_explained.csv"
opportunity,methodology,,,,Příležitostní,,RETIRED v1,,retired,"M3: retired for v1 (2-point CAGR statisticky křehké); ITC-style model odložen do v2 (V2_BACKLOG)"
cz_share_in_partner_import,map_metric,,,,Podíl ČR,,Český podíl na importu,"Český podíl na importu HS6 {hs6}, {year}",ok,= podil_cz_na_importu
export_value_usd,map_metric,,,,Hodnota exportu,,Celková hodnota exportu,"Celková hodnota exportu HS6 {hs6}, {year}",ok,= export_cz_to_partner
podil_cz_na_importu,metric,,,,Podíl ČR na importu,Podíl ČR na celkovém importu dané země pro daný produkt.,Český podíl na importu partnera,,ok,fact-base field
partner_share_in_cz_exports,metric,,,,Podíl na exportu ČR,Podíl dané země na celkovém českém exportu daného produktu.,Podíl partnera na exportu ČR,,ok,fact-base field
delta_vs_peer,metric,,,,Odstup od peers,Rozdíl mezi podílem ČR a mediánem peer skupiny (záporné = podpenetrace).,Odstup od mediánu peer skupiny,,ok,fact-base field
peer_median_share,metric,,,,Medián peers,Medián podílu na importu napříč peer skupinou.,Mediánový podíl peer skupiny,,ok,fact-base field
