HS6,POPIS
10121,"Plemenní čistokrevní koně, živí"
10129,"Koně ostatní, živí"
10130,"Osli, živí"
10190,Koně ostatní
10221,"Plemenný čistokrevný skot, živý"
10229,"Skot ostatní, živý"
10290,Dobytek hovězí ostatní živý
10310,Dobytek vepřový plemenný čistokrevný živý
10391,"Dobytek vepřový ostatní živý,do 50kg"
10392,"Dobytek vepřový ostatní živý,nad 50kg"
10410,Ovce živé
10420,Kozy živé
10511,"Kohouti,slepice domácí živí,do 185g"
10512,Krocani a krůty
10513,"Kachny, živé, o hmotnosti <= 185 g"
10514,"Husy, živé, o hmotnosti <= 185 g"
10515,"Perličky, živé, o hmotnosti <= 185 g"
10594,"Kohouti,slepice domácí živí,nad 185g"
10599,"Kachny,husy,krocani,perličky ap domácí živí"
10611,Primáti
10613,"Velbloudi a jiní velbloudovití, živí"
10614,"Králíci a zajíci, živí"
10619,Domácí králíci
10620,Plazi (včetně hadů a želv)
10631,Dravci
10632,"Papouškovití (vč. papoušků, makaů apod)"
10633,"Pštrosi, emuové, živí"
10639,Holubi a ostatní ptáci j.n.
10641,"Včely, živé"
10649,"Hmyz ostatní, živý"
10690,Ostatní živá zvířata j.n.
20110,"Maso hovězí,čerstvé,chlazené,v celku,půlené"
20120,"Maso hovězí ost,čerstvé,chlazené,nevykostěné"
20130,"Maso hovězí,čerstvé,chlazené,vykostěné"
20210,"Maso hovězí zmrazené,v celku,půlené"
20220,"Maso hovězí ostatní zmrazené,nevykostěné"
20230,"Maso hovězí zmrazené,vykostěné"
20311,"Maso vepřové čerstvé,chlazené,v celku,půlené"
20312,"Šunky,plece vepř.čerstvé,chlazené,nevykostěné"
20319,"Maso vepřové ostatní čerstvé,chlazené"
20321,"Maso vepřové zmarazené,v celku,půlené"
20322,"Šunky,plece vepřové zmrazené,nevykostěné"
20329,Maso vepřové ostatní zmrazené
20410,"Jehně čerstvé,chlazené,v celku,půlené"
20421,"Maso skopové ost.čerstvé,chlaz,v celku,půlené"
20422,"Maso skopové ost.čerstvé,chlazené,nevykostěné"
20423,"Maso skopové ost.čerstvé,chlazené,vykostěné"
20430,"Jehně zmrazené,v celku,půlené"
20441,"Maso skopové ostatní,zmrazené,v celku,půlené"
20442,"Maso skopové ostatní,zmrazené,nevykostěné"
20443,"Maso skopové ostatní,zmrazené,vykostěné"
20450,Maso kozí
20500,"Maso koňské,oslí,mezků,mul,čerst,chlaz,zmraz"
20610,"Droby hovězí jedlé,čerstvé,chlazené"
20621,Jazyky hovězí zmrazené
20622,Játra hovězí zmrazená
20629,"Droby hovězí jedlé ostatní,zmrazené"
20630,"Droby vepřové jedlé,čerstvé,chlazené"
20641,Játra vepřová zmrazená
20649,"Droby vepřové jedlé ostatní,zmrazené"
20680,"Droby skopové,kozí,koňské ap jedlé čerst,chl"
20690,"Droby skopové,kozí,koňské ap jedlé zmrazené"
20711,"Maso ze slepic nedělené, čerstvé n. chlazené"
20712,"Maso ze slepic nedělené, zmrazené"
20713,"Dělené maso a droby ze slepic, čerstvé n.chl."
20714,"Dělené maso a droby ze slepic, zmrazené"
20724,"Maso z krůt nedělené, čerstvé n. chlazené"
20725,"Maso z krůt a krocanů nedělené, zmrazené"
20726,"Dělené maso a droby z krůt, čerstvé n. chlaz."
20727,Dělené maso a droby z krůt zmrazené
20741,"Maso z kachen, nedělené, čerstvé nebo chlazené"
20742,"Maso z kachen, nedělené, zmrazené"
20743,"Tučná játra z kachen, čerstvá nebo chlazená"
20744,"Maso z kachen ostatní, čerstvé nebo chlazené"
20745,"Maso z kachen ostatní, zmrazené"
20751,"Maso z hus, nedělené, čerstvé nebo chlazené"
20752,"Maso z hus, nedělené, zmrazené"
20754,"Maso z hus ostatní, čerstvé nebo chlazené"
20755,"Maso z hus ostatní, zmrazené"
20760,Maso z perliček
20810,"Maso,droby králičí,zaječí,čerst,chlaz,zmraz"
20830,Maso primátů
20840,"Maso z velryb,delfínů,sviňuch,kapustňáků,dugungů,tuleňů,lvounů,mrožů"
20890,"Maso a jedlé droby z holubů, zvěřiny, sobů a jiných zvířat, čerstvé, chlazené a zmrazené (kromě těch z turů, prasat, ovc"
20910,Vepřový tuk
20990,Vepřový tuk ostatní
21011,"Šunky,plece vepř.solené,sušené,uzené,nevykost"
21012,"Bůčky prorostlé solené,v nálevu,sušené,uzené"
21019,"Maso,droby vepřové ost.solené,sušené,uzené"
21020,"Maso,droby hovězí solené,v nálevu,sušené,uzené"
21092,"Maso a jedlé droby,solené,sušené,uzené z velryb,delfínů,sviňuch,kapust"
21093,"Solené, uzené maso z plazů"
21099,"Maso a jedlé droby, solené, ve slaném nálevu, sušené nebo uzené, a jedlé moučky a prášky z masa nebo drobů (kromě hovězí"
30111,"Ryby sladkovodní okrasné, živé"
30119,"Ryby okrasné ostatní, živé"
30191,Pstruzi živí
30192,Úhoři živí
30193,"Kaprovití (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyng"
30194,"Tuňáci, živí"
30195,Tuňák australský živý
30199,"Ryby živé, ostatní"
30211,"Pstruzi čerství,chlazení,ne játra,jikry,mlíčí"
